Paper_ID,Title,Authors,Year,DOI,Research_Category,Relevance_Score,Classification
TRINETRA_0001,Preventing Return Fraud in Reverse Logistics—A Case Study of ESPRES Solution by Ethereum,"Dong-Her Shih, Feng-Chuan Huang, Chia-Yi Chieh, Ming-Hung Shih, Ting-Wei Wu",2021,10.3390/jtaer16060121,Return Fraud / Reverse Logistics,20.0,Highly Relevant
TRINETRA_0197,E-Commerce Dispute Resolution Prediction,"David Tsurel, Michael Doron, Alexander Nus, Arnon Dagan, Ido Guy, Dafna Shahaf",2020,10.1145/3340531.3411906,Dispute Resolution / Machine Learning,20.0,Highly Relevant
TRINETRA_0550,Blockchain technology for supply chain provenance: increasing supply chain efficiency and consumer trust,"Elena Isabel Vazquez Melendez, Paul Bergey, Brett R. Smith",2024,10.1108/scm-08-2023-0383,Supply Chain Provenance / Blockchain,20.0,Highly Relevant
TRINETRA_0502,Exploring Apparel E-Commerce Unethical Return Experience: A Cross-Country Study,"José Magano, Jana Turčínková, Mário Coutinho dos Santos, Roxana Correia, Mikhail Serebriannikov",2024,10.3390/jtaer19040127,Return Abuse / Wardrobing,18.4,Highly Relevant
TRINETRA_0208,Online Dispute Resolution for Consumers in the European Union,Pablo Cortés,2010,10.4324/9780203847756,Consumer Protection / ODR,17.6,Highly Relevant
TRINETRA_0552,PharmaChain: Blockchain-based drug supply chain provenance verification system,"Sarmistha Sarna Gomasta, Aditi Dhali, Tahlil Tahlil, Md Musfique Anwar, A. B. M. Shawkat Ali",2023,10.1016/j.heliyon.2023.e17957,Product Authentication / Anti-Counterfeit,17.6,Highly Relevant
TRINETRA_0205,The Development of New Technology Intergration in E-commerce Dispute Resolution in Vietnam,"Tran Nam, Nguyễn Văn Minh, Tran Vai, Thomas Giglione",2022,10.52028/rbadr.v4i7.13,Dispute Resolution / Smart Contracts,16.8,Highly Relevant
TRINETRA_0479,Consumer protection and electronic commerce in the Sultanate of Oman,"Rakesh Belwal, Rahima Al Shibli, Shweta Belwal",2020,10.1108/jices-09-2019-0110,Consumer Protection / Legal Frameworks,16.8,Highly Relevant
TRINETRA_0206,Online Arbitration in E-Commerce Dispute Resolution During the Pandemic Covid-19,"Mohammad Ghozali, Budi Ispriyarso",2021,10.30659/jdh.v4i3.16266,Online Dispute Resolution,16.8,Highly Relevant
TRINETRA_0210,The Future of Online Dispute Resolution: Building A Framework for E-Commerce Dispute Resolution in Indonesia,Rina Elsa Rizkiana,2021,10.21632/tlj.1.2.114-138,Online Dispute Resolution,16.8,Highly Relevant
TRINETRA_0202,Electronically-Mediated Dispute Resolution and E-Commerce,Janice Nadler,2001,10.1111/j.1571-9979.2001.tb00244.x,Dispute Resolution / Consumer Trust,16.8,Highly Relevant
TRINETRA_0198,"Unleashing Alternative Dispute Resolution (ADR) in Resolving Complex Legal-Technical Issues Arising in Cyberspace",Bhupinder Singh,2023,10.52028/rbadr.v5i10.art04.ind,Alternative Dispute Resolution,16.8,Highly Relevant
TRINETRA_0199,Redress and Alternative Dispute Resolution in EU Cross-Border E-Commerce Transactions,"Lilian Edwards, Caroline Wilson",2007,10.1080/13600860701701603,Cross-Border Consumer Redress,16.8,Highly Relevant
TRINETRA_0207,Universal standards for the concept of trust in online dispute resolution systems in e-commerce disputes,"Fahimeh Abedi, John Zeleznikow, Emilia Bellucci",2019,10.1093/ijlit/eaz005,Online Dispute Resolution / Trust Metrics,16.8,Highly Relevant
TRINETRA_0203,Online dispute resolution in e-commerce: is consensus in regulation UNCITRAL’s utopian idea or a realistic ambition?,Julia Hörnle,2012,10.54648/cola2012021,International Trade / Dispute Redress,16.8,Highly Relevant
